entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Transformer distillation,1,Transformer-layer distillation (No Trm),124,0.8847477436065674
Transformer distillation,1,Transformer-layer distillation,134,0.9141110181808472
Transformer distillation,1,Transformer-based distillation,138,0.9511080384254456
Knowledge distillation (KD),2,Knowledge Distillation,24,0.9177775979042053
Knowledge distillation (KD),2,Knowledge Distillation (KD),26,1.0000001192092896
Knowledge distillation (KD),2,Knowledge distillation,135,0.9177775979042053
Pre-training language models,5,Pre-trained language models,148,0.9456117153167725
GLUE benchmark,7,GLUE Benchmark,12,1.0000001192092896
GLUE benchmark,7,GLUE Benchmark Tasks,18,0.9174453020095825
GLUE Benchmark,12,GLUE Benchmark Tasks,18,0.9174453020095825
Downstream tasks,15,Downstream Tasks,89,1.0
Weights pruning,20,Weights Pruning,23,1.0000001192092896
Knowledge Distillation,24,Knowledge Distillation (KD),26,0.9177775979042053
Knowledge Distillation,24,Knowledge distillation,135,0.9999999403953552
Knowledge Distillation (KD),26,Knowledge distillation,135,0.9177775979042053
Attention matrices,29,Attention matrices (A),63,0.9354485273361206
Attention matrices,29,Attention matrix,67,0.945784330368042
Embedding Layer Loss,38,Embedding Layer Output Loss,45,0.9305486679077148
Pre-training stage,48,Pre-training,173,0.8891328573226929
Data augmentation,50,Data Augmentation (DA),123,0.9258519411087036
Task-specific Distillation,54,Task-specific distillation,77,1.0
Task-specific Distillation,54,Task-specific Distillation (TD),121,0.9535989761352539
Task-specific Distillation,54,Task-Specific Distillation Settings,175,0.9067181944847107
GLUE tasks,55,GLUE Tasks,174,1.0
Multi-head attention (MHA),56,Multi-head Attention (MHA),61,1.0
Attention matrices (A),63,Attention matrix,67,0.881592869758606
Embedding-layer distillation,68,embedding-layer distillation (No Emb),125,0.9191828966140747
Prediction-layer distillation,69,prediction-layer distillation (No Pred),126,0.9583494067192078
Prediction-layer distillation,69,Prediction layer distillation,159,0.9547897577285767
Transformer layers,71,Transformer layer,113,0.9557356238365173
KNOWLEDGE TRANSFER,72,Knowledge transfer,145,1.0000001192092896
Task-specific distillation,77,Task-specific Distillation (TD),121,0.9535989761352539
Task-specific distillation,77,Task-Specific Distillation Settings,175,0.9067181944847107
General distillation,97,General Distillation (GD),122,0.8972368240356445
General distillation,97,Distillation,146,0.8848916292190552
General distillation,97,General Distillation,151,1.0
teacher BERT,116,Teacher BERT,181,1.0
General Distillation (GD),122,General Distillation,151,0.8972368240356445
Transformer-layer distillation (No Trm),124,Transformer-layer distillation,134,0.9542006254196167
Transformer-layer distillation (No Trm),124,Transformer-based distillation,138,0.8979321718215942
prediction-layer distillation (No Pred),126,Prediction layer distillation,159,0.9189473986625671
Transformer-layer distillation,134,Transformer-based distillation,138,0.9107004404067993
