entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
human detection,0,Human detection,26,1.0
human detection,0,Human Detection,48,1.0
pose estimation,1,Pose estimation,25,1.0000001192092896
pose estimation,1,Pose Estimation,50,1.0000001192092896
person Re-ID (re-identification),2,Person Re-ID (re-identification),27,1.0
person Re-ID (re-identification),2,Person Re-ID,49,0.9345998167991638
keypoint detection,3,Keypoint detection,28,1.0
keypoint detection,3,Keypoint Detection,46,1.0
pose tracking,4,Pose tracking,29,1.000000238418579
scale variation problem,8,Scale variation problem,30,1.0
occlusion-aware strategy,10,Occlusion-aware strategy,40,1.0
Region Proposal Networks (RPN),11,Region Proposal Network (RPN),31,0.9614206552505493
backbone networks,13,Backbone networks,32,1.0000001192092896
Pose estimation,25,Pose Estimation,50,1.0000001192092896
Human detection,26,Human Detection,48,1.0
Person Re-ID (re-identification),27,Person Re-ID,49,0.9345998167991638
Keypoint detection,28,Keypoint Detection,46,1.0
Nodes: human detection<==>Human detection
The process of identifying and locating humans within an image or video.,0,The process of identifying and locating humans within an image or video.,0,1.0
The process of identifying and locating humans within an image or video.,0,The process of identifying and locating humans within an image or video.,1,1.0
Nodes: human detection<==>Human Detection
The process of identifying and locating humans within an image or video.,0,The process of identifying and locating human figures within an image or video.,1,0.9502530097961426
Nodes: pose estimation<==>Pose estimation
The process of estimating the pose (keypoint locations) of a person in an image or video.,0,The process of estimating the pose of a human in an image or video.,0,0.9469670653343201
The process of estimating the pose (keypoint locations) of a person in an image or video.,0,The process of estimating the pose (keypoint locations) of a person in an image or video.,1,1.0
Nodes: person Re-ID (re-identification)<==>Person Re-ID (re-identification)
The task of re-identifying a person across different camera views or time instances.,0,The task of re-identifying a person across different camera views or time instances.,0,1.0
The task of re-identifying a person across different camera views or time instances.,0,The task of re-identifying a person across different camera views or time instances.,1,1.0
Nodes: keypoint detection<==>Keypoint detection
The process of identifying and locating specific points (keypoints) on a person's body.,0,The process of identifying and locating specific points (keypoints) on a human body.,0,0.9863793253898621
The process of identifying and locating specific points (keypoints) on a person's body.,0,The process of identifying and locating specific points (keypoints) on a human body.,1,0.9863793253898621
The process of identifying and locating specific points (keypoints) on a person's body.,0,The process of identifying and locating specific points (keypoints) on a human figure.,2,0.932931661605835
Nodes: keypoint detection<==>Keypoint Detection
The process of identifying and locating specific points (keypoints) on a person's body.,0,"The process of identifying and locating specific points (keypoints) on a human body, such as joints, used for pose estimation.",0,0.8799546360969543
Nodes: pose tracking<==>Pose tracking
The process of tracking the pose of a person over time in a video sequence.,0,The process of tracking the pose of a human over a sequence of video frames.,0,0.9610285758972168
The process of tracking the pose of a person over time in a video sequence.,0,The process of tracking the pose of a person over time in a video sequence.,1,1.0000001192092896
The process of tracking the pose of a person over time in a video sequence.,0,The process of tracking the poses of individuals over time in a video sequence.,2,0.9749199748039246
Nodes: scale variation problem<==>Scale variation problem
A performance bottleneck in unified pose estimation caused by variations in the scale of objects in an image.,0,"A performance bottleneck in unified pose estimation, caused by variations in the size of objects in an image.",0,0.9630615711212158
Nodes: occlusion-aware strategy<==>Occlusion-aware strategy
A strategy used in pose tracking that utilizes pose information to infer occlusion states and improve Re-ID.,0,A strategy for pose tracking that utilizes pose information to infer occlusion states and improve Re-ID.,0,0.9145323634147644
A strategy used in pose tracking that utilizes pose information to infer occlusion states and improve Re-ID.,0,"A strategy employed by FastPose for pose tracking, utilizing pose information to infer occlusion states and improve Re-ID.",1,0.8954771161079407
Nodes: Human detection<==>Human Detection
The process of identifying and locating humans within an image or video.,0,The process of identifying and locating human figures within an image or video.,1,0.9502530097961426
The process of identifying and locating humans within an image or video.,1,The process of identifying and locating human figures within an image or video.,1,0.9502530097961426
Nodes: Keypoint detection<==>Keypoint Detection
The process of identifying and locating specific points (keypoints) on a human body.,0,"The process of identifying and locating specific points (keypoints) on a human body, such as joints, used for pose estimation.",0,0.8871327638626099
The process of identifying and locating specific points (keypoints) on a human body.,1,"The process of identifying and locating specific points (keypoints) on a human body, such as joints, used for pose estimation.",0,0.8871327638626099
The process of identifying and locating specific points (keypoints) on a human figure.,2,"The process of identifying and locating specific points (keypoints) on a human body, such as joints, used for pose estimation.",0,0.8773345351219177
