entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
human detection,2,Human detection,23,1.0000001192092896
human detection,2,Human Detection,33,1.0000001192092896
pose estimation,3,Pose estimation,24,1.0
pose estimation,3,Pose Estimation,34,1.0
person Re-identification (Re-ID),4,Person Re-identification (Re-ID),25,1.0000001192092896
scale variation problem,6,Scale variation problem,28,1.0
occlusion-aware strategy,8,Occlusion-aware strategy,26,1.0000001192092896
Region Proposal Networks (RPN),21,Region Proposal Network (RPN),29,0.9614205360412598
Human detection,23,Human Detection,33,1.0000001192092896
Pose estimation,24,Pose Estimation,34,1.0
Nodes: human detection<==>Human detection
The process of identifying and locating humans within an image or video.,0,The process of identifying and locating human figures within an image or video frame.,0,0.9406296014785767
Nodes: pose estimation<==>Pose estimation
The process of estimating the pose (joint positions) of a person in an image or video.,0,"The process of identifying and locating keypoints (e.g., joints) on a human figure within an image or video frame.",0,0.8654657602310181
Nodes: scale variation problem<==>Scale variation problem
"A performance bottleneck in unified pose estimation, caused by variations in the size of objects in an image.",0,"A performance bottleneck in unified pose estimation, caused by the varying sizes of objects in an image.",0,0.9907452464103699
Nodes: occlusion-aware strategy<==>Occlusion-aware strategy
A strategy used in pose tracking that utilizes pose information to infer occlusion states and improve Re-ID performance.,0,A strategy for pose tracking that utilizes pose information to infer occlusion states and improve Re-ID performance.,0,0.9166642427444458
A strategy used in pose tracking that utilizes pose information to infer occlusion states and improve Re-ID performance.,0,"A strategy used for pose tracking, leveraging pose information to infer occlusion states and improve Re-ID performance.",1,0.9555796384811401
A strategy used in pose tracking that utilizes pose information to infer occlusion states and improve Re-ID performance.,0,"A strategy employed by FastPose for pose tracking, utilizing pose information to infer occlusion states and improve Re-ID performance.",2,0.9003647565841675
