entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Sentiment Analysis,0,Sentiment analysis,32,1.0
Financial PhraseBank,1,Financial Phrasebank,95,1.0000001192092896
Financial Domain,5,Financial domain,48,1.0000001192092896
NLP (Natural Language Processing),9,Natural language processing (NLP),49,0.9430362582206726
NLP (Natural Language Processing),9,Natural Language Processing (NLP),103,0.9430362582206726
Transfer Learning,10,Transfer learning,40,0.9999999403953552
Discriminative Fine-tuning,12,Discriminative fine-tuning,37,0.9999999403953552
Slanted Triangular Learning Rates,13,Slanted triangular learning rates,38,0.9999999403953552
Slanted Triangular Learning Rates,13,Slanted Triangular Learning Rate,102,0.969709575176239
Gradual Unfreezing,14,Gradual unfreezing,39,0.9999999403953552
Gradual Unfreezing,14,Gradual Unfreezing (GU),98,0.8853999376296997
Financial NLP tasks,15,Financial NLP,93,0.9328051209449768
Pre-trained language models,22,Pre-trained language model,44,0.9287927150726318
Text classification,33,Text Classification,50,0.9999998807907104
GloVe,35,GLoVe,47,0.9999999403953552
Slanted triangular learning rates,38,Slanted Triangular Learning Rate,102,0.969709575176239
Gradual unfreezing,39,Gradual Unfreezing (GU),98,0.8853999376296997
Natural language processing (NLP),49,Natural Language Processing (NLP),103,1.0000001192092896
Financial PhraseBank dataset,71,Financial PhraseBank dataset classification task,88,0.8805328011512756
Slanted Triangular Learning Rate (STL),97,Slanted triangular learning rate (STL),100,1.0
Slanted Triangular Learning Rate (STL),97,Slanted Triangular Learning Rate,102,0.8859787583351135
Slanted triangular learning rate (STL),100,Slanted Triangular Learning Rate,102,0.8859787583351135
Nodes: NLP (Natural Language Processing)<==>Natural language processing (NLP)
The field of computer science concerned with giving computers the ability to understand text and spoken words in a human-like manner.,0,A field of computer science and artificial intelligence concerned with giving computers the ability to understand text and spoken words in much the same way human beings can.,0,0.9556657075881958
