doc_id,priming,generic,token_limit,seed,run_key,adjusted_domain_f1,adjusted_domain_precision,adjusted_domain_recall,adjusted_f1,adjusted_method_f1,adjusted_method_precision,adjusted_method_recall,adjusted_precision,adjusted_recall,domain_coverage,domain_f1,domain_precision,domain_recall,f1,method_coverage,method_f1,method_precision,method_recall,precision,recall
54457603,False,False,750,1,"54457603/general_config.generic_type_allowance=False,general_config.priming=False,general_config.token_limit=750/seed=1/54457603/eval_results/eval_metrics.yml",0.3157894736842105,0.375,0.2727272727272727,0.3087248322147651,0.3076923076923077,0.4,0.25,0.39655172413793105,0.25274725274725274,0.2727272727272727,0.2727272727272727,0.375,0.21428571428571427,0.2690058479532164,0.25,0.2684563758389262,0.4,0.20202020202020202,0.39655172413793105,0.20353982300884957
54457603,False,False,750,2,"54457603/general_config.generic_type_allowance=False,general_config.priming=False,general_config.token_limit=750/seed=2/54457603/eval_results/eval_metrics.yml",0.36363636363636365,0.36363636363636365,0.36363636363636365,0.4347826086956522,0.44604316546762585,0.5344827586206896,0.38271604938271603,0.5072463768115942,0.3804347826086957,0.36363636363636365,0.30769230769230765,0.36363636363636365,0.26666666666666666,0.3541666666666667,0.375,0.3614457831325302,0.5172413793103449,0.2777777777777778,0.4927536231884058,0.2764227642276423
54457603,False,False,750,0,"54457603/general_config.generic_type_allowance=False,general_config.priming=False,general_config.token_limit=750/seed=0/54457603/eval_results/eval_metrics.yml",0.36363636363636365,0.36363636363636365,0.36363636363636365,0.42767295597484273,0.43795620437956206,0.5357142857142857,0.37037037037037035,0.5074626865671642,0.3695652173913043,0.36363636363636365,0.30769230769230765,0.36363636363636365,0.26666666666666666,0.34920634920634924,0.3625,0.35582822085889565,0.5178571428571429,0.27102803738317754,0.4925373134328358,0.27049180327868855
54457603,True,False,750,1,"54457603/general_config.generic_type_allowance=False,general_config.priming=True,general_config.token_limit=750/seed=1/54457603/eval_results/eval_metrics.yml",0.1904761904761905,0.2,0.18181818181818182,0.3428571428571428,0.3697478991596639,0.5641025641025641,0.275,0.4897959183673469,0.26373626373626374,0.18181818181818182,0.17391304347826086,0.2,0.15384615384615385,0.2926829268292683,0.275,0.3120567375886525,0.5641025641025641,0.21568627450980393,0.4897959183673469,0.20869565217391303
54457603,True,False,750,2,"54457603/general_config.generic_type_allowance=False,general_config.priming=True,general_config.token_limit=750/seed=2/54457603/eval_results/eval_metrics.yml",0.2105263157894737,0.25,0.18181818181818182,0.2878787878787879,0.30088495575221236,0.53125,0.20987654320987653,0.475,0.20652173913043478,0.18181818181818182,0.1904761904761905,0.25,0.15384615384615385,0.24489795918367346,0.2,0.25396825396825395,0.5,0.1702127659574468,0.45,0.16822429906542055
54457603,True,False,750,0,"54457603/general_config.generic_type_allowance=False,general_config.priming=True,general_config.token_limit=750/seed=0/54457603/eval_results/eval_metrics.yml",0.19999999999999998,0.2222222222222222,0.18181818181818182,0.3134328358208955,0.3333333333333333,0.5588235294117647,0.2375,0.4883720930232558,0.23076923076923078,0.18181818181818182,0.18181818181818185,0.2222222222222222,0.15384615384615385,0.27096774193548384,0.2375,0.2857142857142857,0.5588235294117647,0.1919191919191919,0.4883720930232558,0.1875
54457603,True,False,1000,1,"54457603/general_config.generic_type_allowance=False,general_config.priming=True,general_config.token_limit=1000/seed=1/54457603/eval_results/eval_metrics.yml",0.43478260869565216,0.4166666666666667,0.45454545454545453,0.2698412698412698,0.23300970873786406,0.5217391304347826,0.15,0.4857142857142857,0.18681318681318682,0.45454545454545453,0.35714285714285715,0.4166666666666667,0.3125,0.2377622377622378,0.15,0.20869565217391303,0.5217391304347826,0.13043478260869565,0.4857142857142857,0.1574074074074074
54457603,True,False,1000,2,"54457603/general_config.generic_type_allowance=False,general_config.priming=True,general_config.token_limit=1000/seed=2/54457603/eval_results/eval_metrics.yml",0.24999999999999994,0.23076923076923078,0.2727272727272727,0.2706766917293233,0.27522935779816515,0.5172413793103449,0.1875,0.42857142857142855,0.1978021978021978,0.2727272727272727,0.22222222222222224,0.23076923076923078,0.21428571428571427,0.24,0.1875,0.2439024390243902,0.5172413793103449,0.1595744680851064,0.42857142857142855,0.16666666666666666
54457603,True,False,1000,0,"54457603/general_config.generic_type_allowance=False,general_config.priming=True,general_config.token_limit=1000/seed=0/54457603/eval_results/eval_metrics.yml",0.24999999999999994,0.23076923076923078,0.2727272727272727,0.25757575757575757,0.25925925925925924,0.5,0.175,0.4146341463414634,0.18681318681318682,0.2727272727272727,0.22222222222222224,0.23076923076923078,0.21428571428571427,0.22972972972972971,0.175,0.23140495867768596,0.5,0.15053763440860216,0.4146341463414634,0.1588785046728972
54457603,False,True,1000,1,"54457603/general_config.generic_type_allowance=True,general_config.priming=False,general_config.token_limit=1000/seed=1/54457603/eval_results/eval_metrics.yml",0.3157894736842105,0.375,0.2727272727272727,0.32748538011695905,0.32894736842105265,0.373134328358209,0.29411764705882354,0.37333333333333335,0.2916666666666667,0.2727272727272727,0.2727272727272727,0.375,0.21428571428571427,0.2446808510638298,0.25,0.24096385542168675,0.29850746268656714,0.20202020202020202,0.30666666666666664,0.20353982300884957
