entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Concurrent activity recognition,0,concurrent activity recognition,25,0.9999998807907104
Deep learning architecture,1,deep learning architecture,26,1.0000001192092896
Tri-axial self-attention encoder-decoder,3,tri-axial self-attention encoder-decoder,28,1.0
Activity association mask,4,activity association mask,29,1.0000001192092896
Activity mapping layer,6,activity mapping layer,33,1.0000001192092896
Self-attention decoder,7,self-attention decoder,34,1.0
Hockey dataset,8,hockey dataset,30,1.0
Volleyball dataset,9,volleyball dataset,31,1.0000001192092896
Charades dataset,10,charades dataset,32,1.0000001192092896
Nodes: Concurrent activity recognition<==>concurrent activity recognition
The task of recognizing multiple activities happening simultaneously.,0,The task of identifying multiple activities happening simultaneously.,0,0.9658541679382324
The task of recognizing multiple activities happening simultaneously.,1,The task of identifying multiple activities happening simultaneously.,0,0.9658541679382324
Nodes: Self-attention decoder<==>self-attention decoder
A decoder using self-attention.,0,A decoder using self-attention mechanism.,0,0.9146382808685303
A decoder using self-attention.,1,A decoder using self-attention mechanism.,0,0.9146382808685303
Nodes: Hockey dataset<==>hockey dataset
A dataset related to hockey.,0,A dataset containing data related to hockey activities.,0,0.8982827067375183
A dataset related to hockey activities.,1,A dataset containing data related to hockey activities.,0,0.95518559217453
Nodes: Volleyball dataset<==>volleyball dataset
A dataset related to volleyball.,0,A dataset containing data related to volleyball activities.,0,0.9150586128234863
A dataset related to volleyball activities.,1,A dataset containing data related to volleyball activities.,0,0.9683191180229187
