entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Semantic segmentation,5,semantic segmentation,28,1.0
Object classes,6,object classes,30,1.0000001192092896
Instance Segmentation,12,Instance segmentation,16,1.0
Instance Segmentation,12,instance segmentation,29,1.0
Few-shot segmentation,13,few-shot segmentation,25,1.0
Instance segmentation,16,instance segmentation,29,1.0
Pixelwise segmentation annotation,18,pixelwise segmentation annotations,32,0.9829711318016052
Nodes: Semantic segmentation<==>semantic segmentation
"A computer vision task that involves assigning a label to each pixel in an image, identifying the object class.",0,"A computer vision task that involves assigning a label to each pixel in an image, identifying the object class.",0,1.0000001192092896
A computer vision task that involves assigning a semantic label to each pixel in an image.,1,"A computer vision task that involves assigning a label to each pixel in an image, identifying the object class.",0,0.8868327736854553
Nodes: Instance Segmentation<==>Instance segmentation
"A computer vision task that involves identifying and delineating individual object instances within an image, providing pixel-level segmentation for each object.",0,A computer vision task that involves detecting and segmenting individual instances of objects in an image.,0,0.923740565776825
Nodes: Instance Segmentation<==>instance segmentation
"A computer vision task that involves identifying and delineating individual object instances within an image, providing pixel-level segmentation for each object.",0,A computer vision task that involves detecting and delineating each instance of an object class in an image.,0,0.8944700956344604
Nodes: Instance segmentation<==>instance segmentation
A computer vision task that involves detecting and segmenting individual instances of objects in an image.,0,A computer vision task that involves detecting and delineating each instance of an object class in an image.,0,0.8998184204101562
