entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Multi-task network (MTN),1,MTN (Multi-Task Network),30,0.9703943133354187
Scale-normalized image and feature pyramids (SIFP),2,SIFP (Scale-normalized image pyramid and feature pyramid),31,0.9117076396942139
Scale-normalized image and feature pyramids (SIFP),2,SIFP (Scale-normalized Image and Feature Pyramid),44,0.9133303165435791
Person re-identification (Re-ID),4,Person Re-ID,35,0.9219736456871033
Person re-identification (Re-ID),4,Re-ID (Re-identification),46,0.880129337310791
Feature pyramid networks (FPN),11,FPN (Feature Pyramid Network),29,0.9366530776023865
Fast R-CNN,24,Faster R-CNN,25,0.907331645488739
SIFP (Scale-normalized image pyramid and feature pyramid),31,SIFP (Scale-normalized Image and Feature Pyramid),44,0.9833216071128845
Nodes: Fast R-CNN<==>Faster R-CNN
A method that jointly predicts the class and coordinates of objects in an image.,0,A method that jointly predicts the class and coordinates of objects in an image.,0,1.0000001192092896
