entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Concurrent activity recognition,1,concurrent activity recognition,54,0.9999999403953552
Feature-to-activity attention,2,Feature-to-Activity Attention,11,1.0
Tri-axial self-attention encoder-decoder,3,Tri-axial Self-Attention Encoder-Decoder,10,1.0000001192092896
Triaxial self-attention,12,Tri-axial self-attention,66,0.9139496684074402
Hockey dataset,13,Hockey Dataset,46,1.0
Volleyball dataset,14,volleyball dataset,55,1.0
Charades dataset,15,charades dataset,50,1.0
Activity recognition,19,Activity Recognition,76,1.0
Self-attention-based decoder,20,Self-attention decoder,74,0.9351860284805298
Non-local neural network,35,non-local neural network,52,1.0
Non-local neural network,35,Non-local Neural Network,65,1.0
VGG net,36,VGG Net,60,1.0000001192092896
VLAD descriptors,45,VLAD DESCRIPTORS,57,1.0000001192092896
non-local neural network,52,Non-local Neural Network,65,1.0
Nodes: Concurrent activity recognition<==>concurrent activity recognition
The objective of identifying multiple activities happening simultaneously.,0,The task of recognizing activities happening simultaneously.,0,0.8861935138702393
The task of recognizing multiple activities happening simultaneously in a video clip.,3,The task of recognizing activities happening simultaneously.,0,0.8661658763885498
The task of recognizing activities happening simultaneously.,4,The task of recognizing activities happening simultaneously.,0,1.0
Nodes: Tri-axial self-attention encoder-decoder<==>Tri-axial Self-Attention Encoder-Decoder
A method for multi-label prediction in concurrent activity recognition.,0,A specific method used for multi-label prediction in the concurrent activity recognition model. It is a core component of the proposed model.,0,0.9083067774772644
