entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Transfer Learning,9,Transfer learning,37,1.0000001192092896
Discriminative Fine-tuning,12,Discriminative fine-tuning,39,1.0
Slanted Triangular Learning Rates,13,Slanted triangular learning rates,40,0.9999999403953552
Gradual Unfreezing,14,Gradual unfreezing,41,0.9999998807907104
Gradual Unfreezing,14,Gradual Unfreezing (GU),66,0.8853998780250549
Sentiment classification,38,Sentiment Classification,45,1.0
Gradual unfreezing,41,Gradual Unfreezing (GU),66,0.8853997588157654
Slanted Triangular Learning Rate (STL),65,Slanted triangular learning rate (STL),70,1.0000001192092896
Nodes: Transfer Learning<==>Transfer learning
A machine learning technique where a model trained on one task is re-purposed on a second related task.,2,A machine learning technique where a model trained on one task is adapted to a second related task.,0,0.9274301528930664
Nodes: Discriminative Fine-tuning<==>Discriminative fine-tuning
"A technique used during fine-tuning to prevent catastrophic forgetting, as proposed by Howard and Ruder (2018).",2,A fine-tuning technique used to prevent catastrophic forgetting.,0,0.8887080550193787
A fine-tuning technique used in the study to mitigate catastrophic forgetting.,3,A fine-tuning technique used to prevent catastrophic forgetting.,0,0.9179883003234863
A fine-tuning technique used in the study to mitigate catastrophic forgetting.,3,A technique used in conjunction with other settings to measure the performance of techniques against catastrophic forgetting.,1,0.8771910071372986
Nodes: Slanted Triangular Learning Rates<==>Slanted triangular learning rates
"A technique used during fine-tuning to prevent catastrophic forgetting, as proposed by Howard and Ruder (2018).",2,A learning rate schedule used during fine-tuning to prevent catastrophic forgetting.,0,0.8646213412284851
Nodes: Sentiment classification<==>Sentiment Classification
The task of classifying text based on the sentiment it expresses.,0,"The task of classifying text based on its sentiment (positive, negative, neutral), a core focus of the research.",0,0.8731472492218018
Nodes: Gradual unfreezing<==>Gradual Unfreezing (GU)
A fine-tuning technique used to prevent catastrophic forgetting.,0,A fine-tuning technique used in the study to mitigate catastrophic forgetting.,0,0.9179885387420654
