entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Multi-task network (MTN),1,MTN (Multi-task network),34,0.9703943133354187
Multi-task network (MTN),1,MTN (Multi-task Network),60,0.9703943133354187
Human detection,2,Human Detection,45,1.0
Person re-identification (Re-ID),4,Person Re-ID,50,0.9219736456871033
Person re-identification (Re-ID),4,Re-ID (Person Re-identification),64,0.9820682406425476
Scale-normalized image and feature pyramids (SIFP),5,SIFP (Scale-normalized Image and Feature Pyramid),61,0.9133302569389343
Articulated multi-person pose tracking,11,Multi-person pose tracking,24,0.9320430159568787
Multi-person pose estimation,17,Multi-person pose tracking,24,0.8976294994354248
FPN-DCN,23,FPN - DCN,40,1.000000238418579
Fast R-CNN,28,Faster R-CNN,29,0.9073317646980286
Object detection,31,Object Detection,39,1.0
Dilated/atrous convolutions,32,Dilated/Atrous Convolutions,42,1.0000001192092896
MTN (Multi-task network),34,MTN (Multi-task Network),60,1.0000001192092896
Person Re-ID,50,Re-ID (Person Re-identification),64,0.9147006273269653
Nodes: Human detection<==>Human Detection
The task of identifying and locating humans within an image or video.,0,The task of identifying and locating human figures within an image or video.,0,0.9495291709899902
The task of identifying and locating humans in images or videos.,1,The task of identifying and locating human figures within an image or video.,0,0.9378728270530701
Nodes: Person re-identification (Re-ID)<==>Person Re-ID
The task of identifying and matching individuals across different camera views or time instances.,0,The task of re-identifying a person across different camera views or time instances.,0,0.9224887490272522
Nodes: Person re-identification (Re-ID)<==>Re-ID (Person Re-identification)
The task of identifying and matching individuals across different camera views or time instances.,0,The task of identifying or re-identifying a person across different camera views or time instances.,0,0.9108525514602661
Nodes: Articulated multi-person pose tracking<==>Multi-person pose tracking
"The task of tracking the poses of multiple people in a video, considering the articulation of their bodies.",0,The task of tracking multiple people's poses in a video.,0,0.9477194547653198
"The task of tracking the poses of multiple people in a video, considering the articulation of their bodies.",0,The task of tracking the poses of multiple people over time in a video sequence.,1,0.9220947027206421
Nodes: Multi-person pose estimation<==>Multi-person pose tracking
The task of estimating the poses of multiple people in an image or video.,0,The task of tracking multiple people's poses in a video.,0,0.8504812717437744
Nodes: Object detection<==>Object Detection
A computer vision task that involves identifying and locating objects within images or videos.,0,The task of identifying and locating objects within an image or video.,0,0.9118756055831909
The task of identifying and locating objects within an image or video.,1,The task of identifying and locating objects within an image or video.,0,1.0
Nodes: Person Re-ID<==>Re-ID (Person Re-identification)
The task of re-identifying a person across different camera views or time instances.,0,The task of identifying or re-identifying a person across different camera views or time instances.,0,0.9650213718414307
