entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
feature-to-activity attention,4,Feature-to-activity attention,14,1.0000001192092896
hockey dataset,8,Hockey Dataset,26,1.0
charades datasets,10,charades dataset,27,0.9791455268859863
Triaxial Self-Attention,16,Triaxial self-attention,40,1.0
Non-local neural network,21,non-local neural network,29,1.0000001192092896
Non-local neural network,21,Non-local Neural Network,35,1.0000001192092896
non-local neural network,29,Non-local Neural Network,35,1.0000001192092896
hockey,37,Hockey,45,1.0
volleyball,38,Volleyball,44,1.0
Self-attention decoder,41,Self-Attention Decoder,43,1.0
Nodes: Triaxial Self-Attention<==>Triaxial self-attention
A novel self-attention mechanism that learns independent temporal associations for different activities and makes concurrent activity predictions aware of possible activity combinations.,1,A novel self-attention mechanism that learns independent temporal associations for different activities and makes concurrent activity predictions aware of possible activity combinations.,0,1.0
Nodes: Self-attention decoder<==>Self-Attention Decoder
A novel use of the self-attention decoder that helps extract hidden associations between activities and avoid redundant weights.,0,A novel use of the self-attention decoder that helps extract hidden associations between activities and avoid redundant weights.,0,1.0
