entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
few-shot segmentation,0,Few-shot segmentation,13,0.9999999403953552
few-shot segmentation,0,Few-shot semantic segmentation,45,0.8894989490509033
few-shot segmentation,0,Few-shot Semantic Segmentation,48,0.8894989490509033
few-shot segmentation,0,Few-shot segmentation model,65,0.9188429117202759
Object Classes,9,object classes,44,0.9999998211860657
Few-Shot Learning,12,Few-shot learning,18,1.0000001192092896
Few-shot segmentation,13,Few-shot semantic segmentation,45,0.8894989490509033
Few-shot segmentation,13,Few-shot Semantic Segmentation,48,0.8894989490509033
Few-shot segmentation,13,Few-shot segmentation model,65,0.9188429117202759
Instance-level segmentation,19,Instance segmentation,59,0.9354372024536133
Model III,41,Model II,42,0.8910993933677673
Few-shot semantic segmentation,45,Few-shot Semantic Segmentation,48,1.0000001192092896
Iterative few-shot recognition tasks,63,Iterative few-shot recognition,64,0.9349921345710754
Nodes: Object Classes<==>object classes
The different categories of objects that a segmentation model is designed to identify and distinguish within images. The text highlights the impact of the number of object classes on segmentation performance.,3,The categories of objects that the segmentation models are designed to identify and segment within images.,0,0.8745349645614624
Nodes: Few-Shot Learning<==>Few-shot learning
"A machine learning approach where models learn from a limited number of examples, addressing the limitations of large, pre-existing datasets.",0,A machine learning paradigm where models learn from a limited number of examples.,0,0.8737173080444336
"A machine learning approach where models learn from a limited number of examples, addressing the limitations of large, pre-existing datasets.",0,A machine learning paradigm where models are trained with a limited number of examples.,1,0.8515523672103882
Nodes: Model III<==>Model II
A few-shot learning model trained on FSS-1000.,0,A few-shot learning model trained on fsCOCO.,0,0.887939989566803
