entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Few-shot segmentation,9,FEW-SHOT SEGMENTATION APPROACH,11,0.9349298477172852
Few-shot segmentation,9,Few-shot image segmentation,29,0.9538877010345459
Few-shot segmentation,9,few-shot segmentation,105,1.0000001192092896
Few-shot segmentation,9,Few-shot semantic segmentation,124,0.8894989490509033
Few-shot segmentation,9,Few-shot learning/segmentation,151,0.899925708770752
Few-shot segmentation,9,Few-shot segmentation model,164,0.9188427925109863
FEW-SHOT SEGMENTATION APPROACH,11,Few-shot image segmentation,29,0.9193687438964844
FEW-SHOT SEGMENTATION APPROACH,11,few-shot segmentation,105,0.9349298477172852
FEW-SHOT SEGMENTATION APPROACH,11,Few-shot segmentation model,164,0.9130174517631531
Visual recognition,14,visual recognition,36,1.0
Pre-trained weights,16,pre-trained weights,119,1.0
Few-shot image classification,26,Few-shot classification,50,0.9104079604148865
ImageNet/COCO dataset,28,COCO dataset,107,0.8891605734825134
Few-shot image segmentation,29,few-shot segmentation,105,0.9538877010345459
Few-shot image segmentation,29,Few-shot segmentation model,164,0.8875753879547119
Semantic segmentation,30,semantic segmentation,41,1.000000238418579
Semantic segmentation,30,Semantic Segmentation,67,1.000000238418579
Few-shot learning,31,few-shot learning,44,0.9999998807907104
Few-shot learning,31,Few-shot learning/segmentation,151,0.8802992701530457
computer vision,37,Computer Vision,46,1.000000238418579
semantic segmentation,41,Semantic Segmentation,67,1.000000238418579
segmentation,42,Segmentation,125,1.0
few-shot learning,44,Few-shot learning/segmentation,151,0.8802992701530457
Classification,47,classification,118,1.0
Metric learning,53,Metric Learning,62,1.000000238418579
Two-branch network,55,Two-branch Network,63,1.0000001192092896
Instance-level segmentation,74,Instance segmentation,78,0.9354373216629028
Instance-level segmentation,74,Instance-level segmentation classes,84,0.8961036205291748
Instance segmentation,78,Large-scale instance segmentation,159,0.9162383675575256
few-shot segmentation,105,Few-shot semantic segmentation,124,0.8894989490509033
few-shot segmentation,105,Few-shot learning/segmentation,151,0.899925708770752
few-shot segmentation,105,Few-shot segmentation model,164,0.9188427925109863
network model,110,Network Model,113,0.9999998807907104
network model,110,NETWORK MODEL,114,0.9999998807907104
Clean-up stage,112,CLEAN-UP STAGE,115,0.9999998807907104
Network Model,113,NETWORK MODEL,114,0.9999998807907104
Medical image analysis,149,Medical Image Analysis,158,1.0000001192092896
Whole slide images (WSI),150,Whole Slide Images (WSI),160,1.0
Nodes: Few-shot segmentation<==>Few-shot image segmentation
The task of performing segmentation with limited training data.,1,The task of segmenting images with limited training data.,0,0.9271887540817261
Nodes: Few-shot segmentation<==>few-shot segmentation
The task of performing segmentation with limited training data.,1,The task of segmenting images with limited training data.,0,0.9271887540817261
Nodes: Few-shot segmentation<==>Few-shot semantic segmentation
The task of performing segmentation with limited training data.,1,The objective of segmenting images with limited training data.,0,0.8910821080207825
Nodes: Visual recognition<==>visual recognition
The task of identifying and understanding objects in images.,0,The task of identifying and classifying objects within images.,0,0.8956664204597473
Nodes: Few-shot image segmentation<==>few-shot segmentation
The task of segmenting images with limited training data.,0,The task of segmenting images with limited training data.,0,1.0
Nodes: Semantic segmentation<==>Semantic Segmentation
The task of assigning a label to each pixel in an image.,0,The task of assigning a semantic label to each pixel in an image.,0,0.8824243545532227
Nodes: Few-shot learning<==>few-shot learning
A machine learning paradigm where models learn from a limited number of examples.,0,A machine learning paradigm where a model learns from a limited number of examples.,0,0.9748055934906006
Nodes: computer vision<==>Computer Vision
The field of computer science that deals with how computers can be made to see and understand images.,0,The field of computer science that deals with how computers can be made to 'see'; it involves developing methods for computers to gain high-level understanding from digital images or videos.,0,0.9382818937301636
Nodes: few-shot learning<==>Few-shot learning/segmentation
A machine learning paradigm where a model learns from a limited number of examples.,0,A machine learning approach where a model learns to perform a task from a limited number of training examples.,0,0.8788890838623047
Nodes: Two-branch network<==>Two-branch Network
"A network architecture with two branches, used for few-shot segmentation.",0,The two-branch network architecture proposed in OSLSM [30] for few-shot segmentation. This architecture likely uses two separate pathways to process and integrate information for segmentation tasks.,0,0.9188717007637024
Nodes: few-shot segmentation<==>Few-shot semantic segmentation
The task of segmenting images with limited training data.,0,The objective of segmenting images with limited training data.,0,0.9550092220306396
