entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
sentiment analysis,0,Sentiment Analysis,10,1.0000001192092896
transfer learning,3,Transfer Learning,47,0.9999999403953552
discriminative fine-tuning,4,Discriminative Fine-tuning,29,0.9999999403953552
discriminative fine-tuning,4,Discriminative fine-tuning,54,0.9999999403953552
slanted triangular learning rates,5,Slanted Triangular Learning Rates,28,1.0
slanted triangular learning rates,5,Slanted triangular learning rate,52,0.9697094559669495
gradual unfreezing,6,Gradual Unfreezing,30,0.9999999403953552
gradual unfreezing,6,Gradual unfreezing,53,0.9999999403953552
GLoVe,21,GLoVE,25,1.0
AWD-LSTM,24,AWD - LSTM,26,1.0000001192092896
Slanted Triangular Learning Rates,28,Slanted triangular learning rate,52,0.9697094559669495
Discriminative Fine-tuning,29,Discriminative fine-tuning,54,0.9999999403953552
Gradual Unfreezing,30,Gradual unfreezing,53,0.9999999403953552
Slanted triangular learning rate,52,Slanted triangular learning rate (STL),56,0.8859788179397583
Nodes: transfer learning<==>Transfer Learning
Applying knowledge gained from one task to another related task.,9,Applying knowledge gained from one task to another.,0,0.9786509871482849
Nodes: gradual unfreezing<==>Gradual Unfreezing
A technique used to optimize model training and prevent catastrophic forgetting.,0,"A training technique used to optimize model training and prevent catastrophic forgetting, as proposed by Howard and Ruder (2018).",0,0.9219971895217896
A technique used to optimize model training and prevent catastrophic forgetting.,1,"A training technique used to optimize model training and prevent catastrophic forgetting, as proposed by Howard and Ruder (2018).",0,0.9219971895217896
A technique used to optimize model training and prevent catastrophic forgetting.,6,"A training technique used to optimize model training and prevent catastrophic forgetting, as proposed by Howard and Ruder (2018).",0,0.9219971895217896
A technique used to optimize model training and prevent catastrophic forgetting.,7,"A training technique used to optimize model training and prevent catastrophic forgetting, as proposed by Howard and Ruder (2018).",0,0.9219971895217896
Nodes: gradual unfreezing<==>Gradual unfreezing
A technique used to optimize model training and prevent catastrophic forgetting.,0,"A technique used to optimize model training, specifically to address catastrophic forgetting.",0,0.9517183303833008
A technique used to optimize model training and prevent catastrophic forgetting.,1,"A technique used to optimize model training, specifically to address catastrophic forgetting.",0,0.9517183303833008
"A technique used to optimize model training, specifically in the context of fine-tuning FinBERT to prevent catastrophic forgetting.",2,"A technique used to optimize model training, specifically to address catastrophic forgetting.",0,0.8641738891601562
"A technique used to optimize model training, specifically in the context of fine-tuning FinBERT to prevent catastrophic forgetting.",3,"A technique used to optimize model training, specifically to address catastrophic forgetting.",0,0.8641738891601562
"A technique used to optimize model training, specifically in the context of fine-tuning FinBERT to prevent catastrophic forgetting.",4,"A technique used to optimize model training, specifically to address catastrophic forgetting.",0,0.8641738891601562
"A technique used to optimize model training, specifically in the context of fine-tuning FinBERT to prevent catastrophic forgetting.",5,"A technique used to optimize model training, specifically to address catastrophic forgetting.",0,0.8641738891601562
A technique used to optimize model training and prevent catastrophic forgetting.,6,"A technique used to optimize model training, specifically to address catastrophic forgetting.",0,0.9517183303833008
A technique used to optimize model training and prevent catastrophic forgetting.,7,"A technique used to optimize model training, specifically to address catastrophic forgetting.",0,0.9517183303833008
"A technique used to optimize model training, specifically in the context of fine-tuning FinBERT to prevent catastrophic forgetting.",9,"A technique used to optimize model training, specifically to address catastrophic forgetting.",0,0.8641738891601562
Nodes: Slanted Triangular Learning Rates<==>Slanted triangular learning rate
"A training technique used to optimize model training and prevent catastrophic forgetting, as proposed by Howard and Ruder (2018).",0,"A technique used to optimize model training, specifically to address catastrophic forgetting.",0,0.9253469109535217
Nodes: Discriminative Fine-tuning<==>Discriminative fine-tuning
"A training technique used to optimize model training and prevent catastrophic forgetting, as proposed by Howard and Ruder (2018).",0,"A technique used to optimize model training, specifically to address catastrophic forgetting.",0,0.925346851348877
Nodes: Gradual Unfreezing<==>Gradual unfreezing
"A training technique used to optimize model training and prevent catastrophic forgetting, as proposed by Howard and Ruder (2018).",0,"A technique used to optimize model training, specifically to address catastrophic forgetting.",0,0.9253469109535217
