entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Multi-task network (MTN),0,MTN (Multi-task network),48,0.9703941941261292
Multi-task network (MTN),0,MTN (Multi-task Network),104,0.9703941941261292
Scale-normalized image and feature pyramids (SIFP),1,Scale-normalized image and feature pyramid (SIFP),24,0.9812367558479309
Scale-normalized image and feature pyramids (SIFP),1,SIFP (Scale-normalized image pyramid and feature pyramid),49,0.9117076992988586
Scale-normalized image and feature pyramids (SIFP),1,Scale-normalized image pyramid and feature pyramid (SIFP),72,0.9602339267730713
Scale-normalized image and feature pyramids (SIFP),1,SIFP (scale-normalized paradigm exploiting both image pyramid and feature pyramid),80,0.9073139429092407
Scale-normalized image and feature pyramids (SIFP),1,SIFP (Scale-normalized Image and Feature Pyramid),105,0.9133302569389343
Pose estimation,2,Pose Estimation,34,1.000000238418579
Person re-identification (Re-ID),3,Person Re-ID,23,0.9219735860824585
Multi-person pose estimation,12,Multi-person pose tracking,29,0.8976294994354248
Human detection,22,Human Detection,33,1.0
Scale-normalized image and feature pyramid (SIFP),24,SIFP (Scale-normalized image pyramid and feature pyramid),49,0.950840413570404
Scale-normalized image and feature pyramid (SIFP),24,Scale-normalized image pyramid and feature pyramid (SIFP),72,0.9753861427307129
Scale-normalized image and feature pyramid (SIFP),24,SIFP (scale-normalized paradigm exploiting both image pyramid and feature pyramid),80,0.9277569651603699
Scale-normalized image and feature pyramid (SIFP),24,SIFP (Scale-normalized Image and Feature Pyramid),105,0.9567607641220093
Feature Pyramid Networks (FPN),25,FPN (Feature Pyramid Network),78,0.9366531372070312
Multi-person pose tracking,29,Articulated Multi-person Pose Tracking in Videos,32,0.8858325481414795
Multi-task learning,41,Multi-task Learning,63,0.9999998807907104
Object detection,43,Object Detection,64,0.9999999403953552
Face detection,44,Face Detection,65,1.0
Dilated/atrous convolutions,45,Dilated/Atrous Convolutions,67,0.9999999403953552
MTN (Multi-task network),48,MTN (Multi-task Network),104,0.9999999403953552
SIFP (Scale-normalized image pyramid and feature pyramid),49,Scale-normalized image pyramid and feature pyramid (SIFP),72,0.9562695026397705
SIFP (Scale-normalized image pyramid and feature pyramid),49,SIFP (scale-normalized paradigm exploiting both image pyramid and feature pyramid),80,0.8978962302207947
SIFP (Scale-normalized image pyramid and feature pyramid),49,SIFP (Scale-normalized Image and Feature Pyramid),105,0.983321487903595
Pose flow non maximum suppression (NMS),53,Pose Flow Non Maximum Suppression (NMS),62,1.0
MS - CNN,56,MS-CNN,58,1.0000001192092896
Scale-normalized image pyramid and feature pyramid (SIFP),72,SIFP (scale-normalized paradigm exploiting both image pyramid and feature pyramid),80,0.9196928143501282
Scale-normalized image pyramid and feature pyramid (SIFP),72,SIFP (Scale-normalized Image and Feature Pyramid),105,0.9278818964958191
SIFP (scale-normalized paradigm exploiting both image pyramid and feature pyramid),80,SIFP (Scale-normalized Image and Feature Pyramid),105,0.8981211185455322
Backbone network,81,Backbone Network,102,1.0000001192092896
Person Search Datasets,85,Person search datasets,88,1.0
PoseTrack dataset,90,PoseTrack Dataset,103,1.0000001192092896
Nodes: Pose estimation<==>Pose Estimation
"The task of identifying the location of keypoints (e.g., joints) on a person's body within an image or video.",0,"The task of determining the positions of key body joints (e.g., elbows, knees) in an image or video.",0,0.9216101765632629
Nodes: Human detection<==>Human Detection
The task of identifying and locating humans in an image or video.,0,The task of identifying and locating humans within an image or video frame.,0,0.9812853336334229
The task of identifying and locating humans within an image.,1,The task of identifying and locating humans within an image or video frame.,0,0.9206839799880981
Nodes: Multi-person pose tracking<==>Articulated Multi-person Pose Tracking in Videos
The task of tracking multiple people's poses over time in a video.,0,"The objective of tracking the poses of multiple people in a video, considering the articulation of their body parts.",0,0.8703469038009644
Nodes: Object detection<==>Object Detection
The task of identifying and locating objects within an image.,1,"The task of identifying and locating objects within an image, as addressed by several methods mentioned in the text.",0,0.9067041873931885
Nodes: Face detection<==>Face Detection
A computer vision task that aims to identify and locate faces within an image or video.,0,"The task of identifying and locating faces within an image, as mentioned in the text.",0,0.8837504386901855
Nodes: SIFP (Scale-normalized image pyramid and feature pyramid)<==>Scale-normalized image pyramid and feature pyramid (SIFP)
A paradigm exploited to alleviate the scale variation problem of MTN.,0,A paradigm exploited to alleviate the scale variation problem of MTN.,0,1.0
Nodes: PoseTrack dataset<==>PoseTrack Dataset
A dataset used for training and evaluating pose estimation and tracking tasks.,0,A dataset used for evaluating pose estimation and tracking methods.,0,0.9259766340255737
