entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Two-stage learning framework,10,two-stage learning framework,19,0.9999999403953552
Weights Pruning,12,Weights pruning,13,1.0000001192092896
BERT - PKD,16,BERT-PKD,32,1.0000001192092896
Transformer distillation,18,Transformer-layer distillation,44,0.9141108989715576
Prediction-layer distillation,23,Prediction-layer Distillation,27,1.0
Nodes: Two-stage learning framework<==>two-stage learning framework
A framework for TinyBERT that performs Transformer distillation at both the pretraining and task-specific learning stages. This ensures TinyBERT captures both general-domain and task-specific knowledge from BERT.,0,A novel framework involving Transformer distillation at both pre-training and fine-tuning stages to enable TinyBERT to capture both general-domain and task-specific knowledge from the teacher BERT.,0,0.9264726638793945
Nodes: BERT - PKD<==>BERT-PKD
A Knowledge Distillation (KD) method used as a baseline for comparison with TinyBERT.,0,"A Knowledge Distillation (KD) baseline model, mentioned for comparison with TinyBERT.",1,0.8823786973953247
A Knowledge Distillation (KD) method used as a baseline for comparison with TinyBERT.,0,"A knowledge distillation baseline model, used for comparison with TinyBERT.",2,0.8900889754295349
