entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Multi-task network (MTN),0,MTN (Multi-task Network),93,0.9703941941261292
Pose estimation,1,Pose Estimation,19,0.9999998807907104
Person re-identification (Re-ID),2,Person Re-ID,25,0.9219736456871033
Scale-normalized image and feature pyramids (SIFP),3,Scale-normalized image and feature pyramid (SIFP),26,0.9812367558479309
Scale-normalized image and feature pyramids (SIFP),3,Scale - normalized image pyramid and feature pyramid (SIFP),59,0.9602339267730713
Scale-normalized image and feature pyramids (SIFP),3,SIFP (scale-normalized paradigm exploiting both image pyramid and feature pyramid),66,0.9073139429092407
Scale-normalized image and feature pyramids (SIFP),3,SIFP (Scale-normalized Image and Feature Pyramid),94,0.9133302569389343
Pose tracking,4,Pose Tracking,20,1.0
Multi-person pose estimation,12,Multi-person pose tracking,31,0.8976294994354248
Top-down pose estimation methods,13,Top-down pose estimation,57,0.9169118404388428
Scale-normalized image and feature pyramid (SIFP),26,Scale - normalized image pyramid and feature pyramid (SIFP),59,0.9753861427307129
Scale-normalized image and feature pyramid (SIFP),26,SIFP (scale-normalized paradigm exploiting both image pyramid and feature pyramid),66,0.9277569651603699
Scale-normalized image and feature pyramid (SIFP),26,SIFP (Scale-normalized Image and Feature Pyramid),94,0.9567607641220093
Feature Pyramid Networks (FPN),27,FPN (Feature Pyramid Network),64,0.9366531372070312
Bottom-up Method,33,Bottom-up method,34,1.0
Fast R-CNN,42,Faster R-CNN,58,0.9073314070701599
Scale - normalized image pyramid and feature pyramid (SIFP),59,SIFP (scale-normalized paradigm exploiting both image pyramid and feature pyramid),66,0.9196928143501282
Scale - normalized image pyramid and feature pyramid (SIFP),59,SIFP (Scale-normalized Image and Feature Pyramid),94,0.9278818964958191
SIFP (scale-normalized paradigm exploiting both image pyramid and feature pyramid),66,SIFP (Scale-normalized Image and Feature Pyramid),94,0.8981211185455322
PoseTrack dataset,76,PoseTrack Dataset,92,1.0
Nodes: Pose estimation<==>Pose Estimation
The task of identifying the keypoints of a person's pose in an image or video.,0,"The task of identifying and locating keypoints (e.g., joints) on human figures within images or videos.",0,0.8586519956588745
"The task of identifying and locating keypoints (e.g., joints) in an image or video, a fundamental problem in computer vision.",1,"The task of identifying and locating keypoints (e.g., joints) on human figures within images or videos.",0,0.9122508764266968
Nodes: Person re-identification (Re-ID)<==>Person Re-ID
The task of identifying a person across different camera views or over time.,0,The task of re-identifying a person across different camera views or time instances.,1,0.9440160989761353
The task of identifying a person across different camera views or over time.,0,The task of re-identifying a person across different camera views or time instances.,2,0.9440160989761353
Nodes: Pose tracking<==>Pose Tracking
The task of tracking a person's pose over time in a video.,0,The task of tracking the movement of human poses over time in a video sequence.,0,0.9116204977035522
The task of tracking the pose of a person over time.,1,The task of tracking the movement of human poses over time in a video sequence.,0,0.8518416285514832
Nodes: Fast R-CNN<==>Faster R-CNN
A method that jointly predicts the class and the coordinates of objects in an image.,0,A method that jointly predicts the class and the coordinates of objects in an image.,0,1.0000001192092896
A method that jointly predicts the class and the coordinates of objects in an image.,1,A method that jointly predicts the class and the coordinates of objects in an image.,0,1.0000001192092896
Nodes: PoseTrack dataset<==>PoseTrack Dataset
A dataset used for training and evaluating pose estimation and tracking tasks.,0,A dataset used for evaluating pose estimation and tracking methods.,0,0.9259766340255737
