entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Sentiment analysis,0,Sentiment Analysis,8,1.0000001192092896
Sentiment analysis,0,sentiment analysis,15,1.0000001192092896
transfer learning,3,Transfer Learning,9,0.9999999403953552
Sentiment Analysis,8,sentiment analysis,15,1.0000001192092896
Discriminative Fine-tuning,10,discriminative fine-tuning,16,0.9999999403953552
Discriminative Fine-tuning,10,Discriminative fine-tuning,49,0.9999999403953552
Slanted Triangular Learning Rates,11,slanted triangular learning rates,17,1.0
Gradual Unfreezing,12,gradual unfreezing,18,0.9999999403953552
discriminative fine-tuning,16,Discriminative fine-tuning,49,0.9999999403953552
Question Answering,24,question answering,53,1.0
Nodes: Sentiment analysis<==>sentiment analysis
"The process of computationally identifying and categorizing opinions expressed in a piece of text, especially to determine a writer's attitude with respect to a particular topic, product, etc.",0,"The process of computationally identifying and categorizing opinions expressed in a piece of text, especially to determine a writer's attitude with respect to a particular topic, product, etc.",0,1.000000238418579
Nodes: transfer learning<==>Transfer Learning
"A machine learning technique where knowledge gained from one task is applied to a different but related task, used in the development of FinBERT.",2,"A machine learning technique where knowledge gained from one task is applied to a different but related task, used in the development of FinBERT.",0,1.0
"A machine learning technique where knowledge gained from one task is applied to a different but related task, used in the development of FinBERT.",2,"A machine learning technique where knowledge gained from one task is applied to a different but related task, used in the development of FinBERT.",1,1.0
"A machine learning technique where knowledge gained from one task is applied to a different but related task, used in the development of FinBERT.",7,"A machine learning technique where knowledge gained from one task is applied to a different but related task, used in the development of FinBERT.",0,1.0
"A machine learning technique where knowledge gained from one task is applied to a different but related task, used in the development of FinBERT.",7,"A machine learning technique where knowledge gained from one task is applied to a different but related task, used in the development of FinBERT.",1,1.0
Nodes: Sentiment Analysis<==>sentiment analysis
"The task of determining the emotional tone or attitude expressed in a piece of text, a key application area for FinBERT.",0,"The task of determining the emotional tone or attitude expressed in a piece of text, a key application area for FinBERT.",1,1.0
"The task of determining the emotional tone or attitude expressed in a piece of text, a key application area for FinBERT.",0,"The task of determining the emotional tone or attitude expressed in a piece of text, a key application area for FinBERT.",6,1.0
"The task of determining the emotional tone or attitude expressed in a piece of text, a key application area for FinBERT.",1,"The task of determining the emotional tone or attitude expressed in a piece of text, a key application area for FinBERT.",1,1.0
"The task of determining the emotional tone or attitude expressed in a piece of text, a key application area for FinBERT.",1,"The task of determining the emotional tone or attitude expressed in a piece of text, a key application area for FinBERT.",6,1.0
Nodes: Discriminative Fine-tuning<==>discriminative fine-tuning
A technique used to optimize model training.,0,A technique used to optimize model training.,1,1.0
A technique used to optimize model training.,0,A technique used to optimize model training.,3,1.0
A training strategy used to optimize model training.,2,A technique used to optimize model training.,1,0.8963710069656372
A training strategy used to optimize model training.,2,A technique used to optimize model training.,3,0.8963710069656372
A technique used to optimize model training.,3,A technique used to optimize model training.,1,1.0
A technique used to optimize model training.,3,A technique used to optimize model training.,3,1.0
Nodes: Slanted Triangular Learning Rates<==>slanted triangular learning rates
A technique used to optimize model training.,0,A technique used to optimize model training.,1,1.0
A technique used to optimize model training.,0,A technique used to optimize model training.,3,1.0
A training strategy used to optimize model training.,2,A technique used to optimize model training.,1,0.8963710069656372
A training strategy used to optimize model training.,2,A technique used to optimize model training.,3,0.8963710069656372
A technique used to optimize model training.,3,A technique used to optimize model training.,1,1.0
A technique used to optimize model training.,3,A technique used to optimize model training.,3,1.0
Nodes: Gradual Unfreezing<==>gradual unfreezing
A technique used to optimize model training and prevent catastrophic forgetting.,0,A technique used to optimize model training and prevent catastrophic forgetting.,1,1.0
A technique used to optimize model training and prevent catastrophic forgetting.,0,A technique used to optimize model training and prevent catastrophic forgetting.,3,1.0
"A training technique used to optimize model training, as proposed by Howard and Ruder (2018), to prevent catastrophic forgetting.",1,A technique used to optimize model training and prevent catastrophic forgetting.,1,0.9088344573974609
"A training technique used to optimize model training, as proposed by Howard and Ruder (2018), to prevent catastrophic forgetting.",1,A technique used to optimize model training and prevent catastrophic forgetting.,3,0.9088344573974609
A technique used to optimize model training and prevent catastrophic forgetting.,3,A technique used to optimize model training and prevent catastrophic forgetting.,1,1.0
A technique used to optimize model training and prevent catastrophic forgetting.,3,A technique used to optimize model training and prevent catastrophic forgetting.,3,1.0
