entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Transformer distillation,2,Transformer-layer distillation,57,0.9141110181808472
Knowledge distillation (KD),3,Knowledge Distillation (KD),23,1.0
Data augmentation,12,Data Augmentation,41,1.0000001192092896
Data augmentation,12,Data Augmentation (DA),49,0.9258519411087036
Data Augmentation,41,Data Augmentation (DA),49,0.9258519411087036
Task-specific distillation,42,Task-specific Distillation (TD),47,0.9535989761352539
Learning Rate for Task-Specific Distillation,59,Learning Rate (Task-Specific Distillation),65,0.9080498218536377
Batch Size for Task-Specific Distillation,60,Batch Size for General Distillation,64,0.8850611448287964
Batch Size for Task-Specific Distillation,60,Batch Size (Task-Specific Distillation),66,0.9765032529830933
"Epochs for Intermediate Layer Distillation (MNLI, QQP, QNLI)",61,"Epochs (Intermediate Layer Distillation - MNLI, QQP, QNLI)",69,0.9657787680625916
Epochs for Intermediate Layer Distillation (CoLA),62,Epochs (Intermediate Layer Distillation - CoLA),71,0.9337177276611328
Batch Size for General Distillation,64,Batch Size (Task-Specific Distillation),66,0.9010437726974487
Nodes: Transformer distillation<==>Transformer-layer distillation
"A novel knowledge distillation method specifically designed for Transformer-based models, used to transfer knowledge from a larger teacher model (BERT) to a smaller student model (TinyBERT).",0,A specific knowledge distillation strategy focused on transferring knowledge from the Transformer layers of a teacher model to a student model.,0,0.8712629675865173
Nodes: Knowledge distillation (KD)<==>Knowledge Distillation (KD)
"A technique used to transfer knowledge from a larger, more complex model (teacher) to a smaller, more efficient model (student).",0,"A technique used to transfer knowledge from a larger, more complex model (teacher) to a smaller, simpler model (student).",0,0.9725821018218994
"A technique used to transfer knowledge from a larger, more complex model (teacher) to a smaller, more efficient model (student).",0,"A technique used to transfer knowledge from a larger, more complex model (teacher) to a smaller, more efficient model (student).",1,1.0
Nodes: Learning Rate for Task-Specific Distillation<==>Learning Rate (Task-Specific Distillation)
"The learning rate used during the task-specific distillation phase. Specifically, the text mentions a learning rate of 5e-5 for intermediate layer distillation and 3e-5 for prediction layer distillation.",0,The learning rate used during the task-specific distillation stage. The text specifies a learning rate of 5e-5.,0,0.9381992816925049
Nodes: Batch Size for Task-Specific Distillation<==>Batch Size (Task-Specific Distillation)
"The batch size used during the task-specific distillation phase. The text specifies a batch size of 32 for both intermediate and prediction layer distillation, except for tasks like MNLI, QQP, and QNLI, where a batch size of 256 is used for intermediate layer distillation.",0,The batch size used during the task-specific distillation stage. The text specifies a batch size of 32.,0,0.8958556056022644
"Nodes: Epochs for Intermediate Layer Distillation (MNLI, QQP, QNLI)<==>Epochs (Intermediate Layer Distillation - MNLI, QQP, QNLI)"
"The number of epochs used for intermediate layer distillation on tasks like MNLI, QQP, and QNLI. The text specifies 5 epochs.",0,"The number of epochs used for intermediate layer distillation for tasks like MNLI, QQP, and QNLI. The text specifies 5 epochs.",0,0.9985558986663818
Nodes: Epochs for Intermediate Layer Distillation (CoLA)<==>Epochs (Intermediate Layer Distillation - CoLA)
The number of epochs used for intermediate layer distillation on the CoLA task. The text specifies 50 epochs.,0,The number of epochs used for intermediate layer distillation for the CoLA task. The text specifies 50 epochs.,0,0.9968073964118958
