entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Human detection,0,human detection,28,1.0
Pose estimation,1,pose estimation,16,1.000000238418579
Person re-identification (Re-ID),2,person Re-ID,29,0.921973705291748
Person re-identification (Re-ID),2,Person Re-ID,86,0.921973705291748
Multi-task network (MTN),3,multi-task network (MTN),30,1.0000001192092896
Multi-task network (MTN),3,MTN (Multi-task Network),75,0.9703942537307739
Scale-normalized image and feature pyramids (SIFP),5,Scale-normalized image and feature pyramid (SIFP),37,0.9812367558479309
Scale-normalized image and feature pyramids (SIFP),5,SIFP (Scale-normalized image pyramid and feature pyramid),78,0.9117076992988586
Scale-normalized image and feature pyramids (SIFP),5,SIFP (Scale-normalized Image and Feature Pyramid),124,0.9133303165435791
Pose tracking,6,Pose Tracking,21,1.0000001192092896
Pose tracking,6,pose tracking,27,1.0000001192092896
ResNet-18,8,ResNet18,113,0.9182282090187073
multi-person pose estimation,20,Multi-person pose estimation,49,0.9999999403953552
multi-person pose estimation,20,Multi-person pose tracking,50,0.8976295590400696
Pose Tracking,21,pose tracking,27,1.0000001192092896
person Re-ID,29,Person Re-ID,86,1.0000001192092896
multi-task network (MTN),30,MTN (Multi-task Network),75,0.9703942537307739
articulated multi-person pose tracking,31,Articulated multi-person pose tracking,42,1.0000001192092896
articulated multi-person pose tracking,31,Multi-person pose tracking,50,0.9320431351661682
top-down pose estimation methods,32,Top-down pose estimation methods,55,1.0000001192092896
flow-based pose similarity,33,Flow-based pose similarity,36,1.0
Scale-normalized image and feature pyramid (SIFP),37,SIFP (Scale-normalized image pyramid and feature pyramid),78,0.9508404731750488
Scale-normalized image and feature pyramid (SIFP),37,SIFP (Scale-normalized Image and Feature Pyramid),124,0.956760823726654
Feature Pyramid Networks (FPN),39,FPN (Feature Pyramid Network),76,0.9366530776023865
Articulated multi-person pose tracking,42,Multi-person pose tracking,50,0.9320431351661682
Multi-person pose estimation,49,Multi-person pose tracking,50,0.8976295590400696
Fast R-CNN,67,Faster R-CNN,68,0.907331645488739
SIFP (Scale-normalized image pyramid and feature pyramid),78,SIFP (Scale-normalized Image and Feature Pyramid),124,0.9833215475082397
PoseTrack dataset,112,PoseTrack Dataset,118,1.0
Nodes: Human detection<==>human detection
The task of identifying and locating humans within an image or video.,0,The task of identifying the presence and location of humans in an image or video.,0,0.9385839700698853
The task of identifying and locating humans within an image.,3,The task of identifying the presence and location of humans in an image or video.,0,0.8925419449806213
Nodes: Pose estimation<==>pose estimation
The task of estimating the pose of a person in an image.,4,The task of identifying the pose of a person in an image or video.,1,0.9083488583564758
The task of estimating the pose of a person in an image.,4,Task of estimating human poses.,2,0.8655878305435181
The task of identifying the pose of a person in an image or video.,5,The task of identifying the pose of a person in an image or video.,1,1.0
The objective of estimating human poses from images.,6,Task of estimating human poses.,2,0.8600854277610779
Nodes: Person re-identification (Re-ID)<==>person Re-ID
The task of identifying a specific person across different camera views or time instances.,0,The task of re-identifying a person across different camera views or time instances.,0,0.955004096031189
Nodes: Person re-identification (Re-ID)<==>Person Re-ID
The task of identifying a specific person across different camera views or time instances.,0,The objective of re-identifying individuals across different camera views or time instances.,0,0.8684410452842712
The task of identifying a specific person across different camera views or time instances.,0,The task of re-identifying a person across different camera views or time instances.,1,0.955004096031189
Nodes: Pose tracking<==>Pose Tracking
"The task of tracking human poses across video frames, often involving the association of detected keypoints and bounding boxes over time.",2,The task of identifying and tracking the poses of individuals over time in a video sequence.,0,0.8682429194450378
Nodes: Pose Tracking<==>pose tracking
The task of identifying and tracking the poses of individuals over time in a video sequence.,0,The task of tracking the pose of a person over a sequence of video frames.,0,0.9079043865203857
Nodes: person Re-ID<==>Person Re-ID
The task of re-identifying a person across different camera views or time instances.,0,The objective of re-identifying individuals across different camera views or time instances.,0,0.9079596996307373
The task of re-identifying a person across different camera views or time instances.,0,The task of re-identifying a person across different camera views or time instances.,1,0.9999999403953552
Nodes: articulated multi-person pose tracking<==>Articulated multi-person pose tracking
"The task of tracking the poses of multiple people in a video, considering the articulation of their bodies.",0,"The objective of tracking the poses of multiple people in videos, considering their articulated movements.",0,0.9298129081726074
Nodes: articulated multi-person pose tracking<==>Multi-person pose tracking
"The task of tracking the poses of multiple people in a video, considering the articulation of their bodies.",0,Tracking the poses of multiple people over time in a video sequence.,0,0.8798059225082397
Nodes: flow-based pose similarity<==>Flow-based pose similarity
A metric used to measure the similarity between poses based on optical flow.,0,A metric used to measure the similarity between poses based on flow information.,1,0.9509485363960266
Nodes: Articulated multi-person pose tracking<==>Multi-person pose tracking
"The objective of tracking the poses of multiple people in videos, considering their articulated movements.",0,Tracking the poses of multiple people over time in a video sequence.,0,0.8960469961166382
Nodes: PoseTrack dataset<==>PoseTrack Dataset
A dataset used for evaluating pose estimation and tracking.,0,A dataset used for evaluating pose estimation methods.,0,0.9022836685180664
